 #,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Parent Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,Label,ISRC,Explicit
1,"Shame","Matchbox Twenty",126,1B,68,2026-08-08,03:34,51,"post-grunge","","Yourself or Someone Like You",1996-10-01,55,0,0,38,0,10,-9,B,4,34Tm4hB6lC8vIFZwlVO1Su,"Lava/Atlantic",USAT29600002,no
2,"Angry","Matchbox Twenty",116,10B,82,2026-08-08,03:44,40,"post-grunge","","Mad Season",2000-05-23,51,4,0,28,0,30,-6,D,4,356SS2KraT3fSKZRYCuKVX,"Atlantic Records",USAT20001322,no
3,"Black & White People","Matchbox Twenty",121,9B,85,2026-08-08,03:45,37,"post-grunge","","Mad Season",2000-05-23,54,13,0,70,0,30,-5,G,4,0CKefyZmTxVJLnGZGYwsDq,"Atlantic Records",USAT20001323,no
4,"Bed of Lies","Matchbox Twenty",91,7B,64,2026-08-08,05:22,46,"post-grunge","","Mad Season",2000-05-23,47,43,0,30,0,20,-7,F,4,1JQXYtYM4YSjOjDyudju8J,"Atlantic Records",USAT20001330,no
5,"Suffer Me","Matchbox Twenty",132,1B,94,2026-08-08,03:10,38,"post-grunge","","Mad Season (Deluxe Edition)",2000-05-23,53,2,0,87,0,10,-4,B,4,1GcQwnNpHv80IvEHpThbqE,"Atlantic Records",USAT22003220,no
6,"Never Going Back Again","Matchbox Twenty",75,4A,88,2026-08-08,03:47,24,"post-grunge","","Mad Season (Deluxe Edition)",2000-05-23,50,67,9,75,0,10,-8,F minor,4,13UZOsQ9Z7rR4Cvzq0hflI,"Atlantic Records",USAT22003221,no
7,"Downfall","Matchbox Twenty",129,9B,94,2026-08-08,04:07,43,"post-grunge","","More Than You Think You Are",2002-11-01,45,6,0,28,10,60,-5,G,4,2mp5NtfuneZoxCZa8GzlhD,"Atlantic Records",USAT20202661,no
8,"How Long","Matchbox Twenty",92,6A,75,2026-08-08,02:44,33,"post-grunge","","North (Deluxe Edition)",2012-08-28,62,3,0,76,0,20,-5,G minor,4,58Zar0dzhXiZyfJd0cNSys,"Emblem/Atlantic",USAT21202746,no
9,"The Way","Matchbox Twenty",136,8B,64,2026-08-08,03:18,35,"post-grunge","","North (Deluxe Edition)",2012-08-28,62,2,0,58,0,20,-6,C,4,6vmCTN9bhoqWOXxb7XsNc4,"Emblem/Atlantic",USAT21202748,no
10,"Straight for This Life","Matchbox Twenty",74,10B,28,2026-08-08,03:15,26,"post-grunge","","North (Deluxe Edition)",2012-08-28,64,87,0,25,0,10,-9,D,5,6u29O85kpPwZ1cEWxnGihy,"Emblem/Atlantic",USAT21202948,no
11,"All Your Reasons","Matchbox Twenty",142,1B,82,2026-08-08,02:40,30,"post-grunge","","Exile on Mainstream (International)",2007-09-29,53,0,0,59,0,10,-4,B,4,2Yh0kCWGWgv27YoHTP5Z0S,"Atlantic Records",USAT20704238,no
12,"These Hard Times","Matchbox Twenty",94,10B,68,2026-08-08,03:49,41,"post-grunge","","Exile on Mainstream (International)",2007-09-29,54,4,0,56,0,10,-7,D,4,7JxvUJq6eVrJikHrd5mcbH,"Atlantic Records",USAT20704239,no
13,"Can't Let You Go","Matchbox Twenty",125,9B,58,2026-08-08,03:28,31,"post-grunge","","Exile on Mainstream (International)",2007-09-29,53,18,0,38,0,20,-5,G,3,2wjmeIEBfoOI8kou4Rf86y,"Atlantic Records",USAT20704241,no
14,"Hymn 2000","Elton John",158,4A,61,2026-08-08,04:29,21,"glam rock, mellow gold, piano rock, rock","Rock","Empty Sky",1969-06-06,39,15,0,59,0,20,-8,F minor,4,4sh4ALvv53VAiq2D1yszYq,"EMI",GBAMB9500030,no
15,"Skyline Pigeon","Elton John",145,5B,37,2026-08-08,03:37,49,"glam rock, mellow gold, piano rock, rock","Rock","Empty Sky",1969-06-06,36,71,0,35,0,10,-7,D#/E♭,4,5MimWt53Ukh0gcv7mC0Rnx,"EMI",GBAMB9500034,no
16,"All Across The Havens","Elton John",130,9B,55,2026-08-08,02:52,19,"glam rock, mellow gold, piano rock, rock","Rock","Empty Sky",1969-06-06,54,69,0,49,0,30,-8,G,4,48QT3qnsdEfGf1RTQaWSbT,"EMI",GBAMB9500037,no
17,"Sixty Years On - Album Edit","Elton John",131,10A,18,2026-08-08,04:35,29,"glam rock, mellow gold, piano rock, rock","Rock","Elton John",1970-04-10,38,94,0,13,0,0,-14,B minor,4,4SOuQPxWb4Bddwj4bLb8Hd,"UMC (Universal Music Catalogue)",GBAMB9500077,no
18,"Come Down In Time","Elton John",118,9A,28,2026-08-08,03:25,28,"glam rock, mellow gold, piano rock, rock","Rock","Tumbleweed Connection",1970-10-30,53,66,0,17,0,0,-14,E minor,4,2nCrujwjKjowXKNes0AoJP,"UMC (Universal Music Catalogue)",GBAMB9500016,no
19,"Sisters Of The Cross - Piano Demo Previously Unreleased","Elton John",119,9B,35,2026-08-08,04:38,13,"glam rock, mellow gold, piano rock, rock","Rock","Tumbleweed Connection",1970-10-30,70,95,1,33,0,0,-10,G,4,4S7fSNb3rd5IxGpaSyhCQC,"UMC (Universal Music Catalogue)",GBUM70711665,no
20,"Amy","Elton John",93,10A,85,2026-08-08,04:03,35,"glam rock, mellow gold, piano rock, rock","Rock","Honky Chateau",1972-05-19,55,9,0,79,0,20,-6,B minor,4,06jttXe119nc0r9Brkpn8a,"EMI",GBAMB7200009,no
21,"Teacher I Need You","Elton John",155,7B,86,2026-08-08,04:09,39,"glam rock, mellow gold, piano rock, rock","Rock","Don't Shoot Me I'm Only The Piano Player",1973-01-22,51,14,0,68,0,0,-8,F,4,71nUHAbMKXbFP0pB7jzpYT,"EMI",GBAMB9500002,no
22,"Bennie And The Jets - Remastered 2014","Elton John",133,8B,67,2026-08-08,05:22,0,"glam rock, mellow gold, piano rock, rock","Rock","Goodbye Yellow Brick Road (Remastered / Deluxe Edition)",1973-10-05,67,26,0,78,0,50,-8,C,4,0dBatXn1vVUl0jLgXRClwD,"UMC (Universal Music Catalogue)",GBUM71304955,no
23,"The Ballad Of Danny Bailey (1909-1934) - Remastered 2014","Elton John",80,9B,66,2026-08-08,04:23,0,"glam rock, mellow gold, piano rock, rock","Rock","Goodbye Yellow Brick Road (Remastered / Deluxe Edition)",1973-10-05,50,40,0,67,0,0,-10,G,4,7asbXXEBjE7yHltLKLUKao,"UMC (Universal Music Catalogue)",GBUM71304962,no
24,"Roy Rogers - Remastered 2014","Elton John",121,7B,45,2026-08-08,04:07,0,"glam rock, mellow gold, piano rock, rock","Rock","Goodbye Yellow Brick Road (Remastered / Deluxe Edition)",1973-10-05,53,24,0,35,0,20,-9,F,3,6l7ZrfDzuHodT5XfcMmBiX,"UMC (Universal Music Catalogue)",GBUM71304967,no
