#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"All I Need","Matchbox Twenty",124,4B,90,2020-08-20,03:40,36,"post-grunge","More Than You Think You Are",2002-11-01,47,0,0,66,0,10,-6,G#/A♭ Major,4,22ChnXPCyiEtgMEnvm4jGr,USAT20202658
2,"Love Song","Elton John",165,10B,13,2020-08-21,03:41,25,"","Tumbleweed Connection",1970-10-30,36,79,0,45,0,0,-23,D Major,4,0sAZ4ix0SpQlrLZFlmSHHm,GBAMB9500021
3,"Tiny Dancer","Elton John",145,8B,43,2020-08-22,06:17,77,"","Madman Across The Water",1971-11-05,41,38,0,28,0,10,-11,C Major,4,2TVxnKdb3tqe1nhQWwwZCO,GBAMB7100001
4,"Goodbye Yellow Brick Road - Remastered 2014","Elton John",121,7B,47,2020-08-31,03:12,0,"","Goodbye Yellow Brick Road (Remastered / Deluxe Edition)",1973-10-05,56,45,0,40,0,10,-8,F Major,4,6Rvlwah55rEmg1ufhBz022,GBUM71304956
5,"I've Seen The Saucers - Remastered 1995","Elton John",78,3B,61,2020-09-07,04:48,25,"","Caribou (Remastered 1995)",1974-06-28,45,14,0,43,0,0,-9,C♯/D♭ Major,4,15FemTRww0eSTvhcAH2Lu3,GBAMB9500045
6,"Pinball Wizard - Remastered 1995","Elton John",131,7B,87,2020-09-07,05:09,48,"","Caribou (Remastered 1995)",1974-06-28,50,14,0,54,0,0,-6,F Major,4,6CJCCb9ookMMDQNz1Rrtii,GBAKW7501037
7,"Someone Saved My Life Tonight","Elton John",130,3B,44,2020-09-09,06:45,44,"","Captain Fantastic And The Brown Dirt Cowboy (Deluxe Edition)",1975-05-19,46,35,0,18,0,20,-8,C♯/D♭ Major,4,0CcGLZQ2WvKkpPrsy0euFU,GBAMB7500005
8,"Tonight","Elton John",146,5A,18,2020-09-11,07:52,33,"","Blue Moves",1976-01-01,30,93,0,9,0,10,-14,C Minor,4,2X9tm8VBLbN7UUnX8xCaV4,GBALX7600009
9,"Sorry Seems To Be The Hardest Word","Elton John",118,6A,22,2020-09-13,03:48,65,"","Blue Moves",1976-01-01,37,83,0,11,0,20,-13,G Minor,4,6XfxmT5QNCXvpZA6PKfWVL,GBALX7600002
10,"I Don't Care","Elton John",133,9B,81,2020-09-13,04:23,21,"","A Single Man",1978-10-01,77,5,0,76,0,20,-9,G Major,4,08uVknixiIZGP9Lt9sobQF,GBAMS7800126
11,"Kiss The Bride","Elton John",138,8B,86,2020-09-19,04:22,41,"","Too Low For Zero",1983-05-30,68,14,3,68,0,10,-6,C Major,4,5xQkkHYbgJ2VegCrRUCvcS,GBALX8300194
12,"Breaking Hearts (Ain't What It Used To Be)","Elton John",83,10B,15,2020-09-21,03:33,27,"","Breaking Hearts",1984-07-09,44,96,0,25,0,30,-17,D Major,4,4fBCtdSAeJHMhWlXxTGoEB,GBALX0080003
13,"I Don't Wanna Go On With You Like That","Elton John",135,8A,89,2020-09-26,04:35,53,"","Reg Strikes Back",1988-06-24,64,4,0,97,0,0,-8,A Minor,4,2Gd10PZnMktt3Cgo9s6yi0,GBAMS8800004
14,"It's Tough To Be A God - From  The Road To El Dorado  Soundtrack","Elton John,Randy Newman",172,10B,64,2021-01-01,03:49,34,"","The Road To El Dorado (Original Motion Picture Soundtrack)",2000-01-01,66,25,0,51,0,0,-8,D Major,4,30ml6ffe9iCKvFo8dzJXjM,USDW10021674
15,"The New Fever Waltz","Elton John",104,9B,36,2021-01-12,04:38,16,"","The Diving Board (Deluxe Version)",2013-09-16,41,82,3,17,0,10,-10,G Major,3,6ODJfZpUen3wj9x4SjlDB6,GBUM71303196
16,"次回、しのぶタイム","物語シリーズ",180,5A,47,2021-03-18,01:00,5,"anime, j-pop","Onimonogatari Gekihanongakushu (Original Soundtrack)",2018-11-02,60,48,71,28,0,10,-10,C Minor,4,7BEfdLF9L0keBj1lViPeys,JPE301400392
17,"With A Girl Like You","The Troggs",114,9B,68,2021-03-18,02:08,52,"proto-punk","From Nowhere",1966-07-25,65,50,0,60,0,10,-11,G Major,4,3VGBUfN2EOVHJ4Y92yIh2f,GBF086600003
